City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
632,Lhokseumawe,ID,78.24,clear sky,5.1801,97.1507,OYO 3278 Penginapan Alfajri
633,Sur,OM,78.94,clear sky,22.5667,59.5289,Sur Plaza Hotel
637,Bathsheba,BB,79.41,broken clouds,13.2167,-59.5167,Atlantis Hotel
643,Kyaiklat,MM,77.81,scattered clouds,16.4333,95.7333,Ayar San Girls Hostel
648,Puerto Palomas,MX,83.23,overcast clouds,31.7667,-107.6167,Hotel San Carlos
655,Idenao,CM,79.83,broken clouds,4.2475,9.0047,Moland Beach Resort
659,Ardmore,US,84.85,clear sky,34.1743,-97.1436,"Motel 6 Ardmore, OK"
663,Bhag,PK,85.24,clear sky,29.0415,67.8239,Bukhari hotl
665,Kieta,PG,83.55,overcast clouds,-6.2167,155.6333,Uruna Bay Retreat
673,Tomatlan,MX,86.56,few clouds,19.9333,-105.25,El Salvial
